X,Y,OBJECTID,ID,MONTH,CRIME_CATEGORY,LOCATION_TYPE,LOCATION_SUBTYPE,LONGITUDE,LATITUDE,STREET_ID,STREET_NAME,OUTCOME_CATEGORY,OUTCOME_DATE
357378.1726,168471.214,5259,120049209,2024-07,violent-crime,Force,,-2.614253,51.413646,2277391,On or near Goulston Walk,Under investigation,2024-07
359659.0976,177044.189200001,5260,120046843,2024-07,violent-crime,Force,,-2.582437,51.490894,2279488,On or near Highbury Road,Unable to prosecute suspect,2024-07
363490.0807,175675.172800001,5261,120046850,2024-07,violent-crime,Force,,-2.527118,51.478846,2282740,On or near Tyndale Avenue,Under investigation,2024-07
359078.8723,175906.134299999,5262,120047093,2024-07,violent-crime,Force,,-2.590662,51.480620,2278990,On or near Prison,Under investigation,2024-07
359078.8723,175906.134299999,5263,120047094,2024-07,violent-crime,Force,,-2.590662,51.480620,2278990,On or near Prison,Under investigation,2024-07
358736.187,171809.2291,5264,120047091,2024-07,violent-crime,Force,,-2.595117,51.443759,2278612,On or near Supermarket,Unable to prosecute suspect,2024-07
359243.0245,167571.1339,5265,120046087,2024-07,violent-crime,Force,,-2.587334,51.405691,2279093,On or near Totshill Drive,Under investigation,2024-07
361276.0701,173736.182,5266,120046105,2024-07,violent-crime,Force,,-2.558784,51.461265,2281001,On or near Samuel Street,Under investigation,2024-07
353443.2524,176368.1447,5267,120046153,2024-07,violent-crime,Force,,-2.671872,51.484337,2275111,On or near Stroud Road,Under investigation,2024-07
358883.0689,167530.214299999,5268,120046165,2024-07,violent-crime,Force,,-2.592504,51.405297,2278833,On or near The Groves,Under investigation,2024-07
360735.1424,171754.196,5269,120046170,2024-07,violent-crime,Force,,-2.566350,51.443407,2280472,On or near Central Road,Unable to prosecute suspect,2024-07
362049.0401,168285.207599999,5270,120046172,2024-07,violent-crime,Force,,-2.547072,51.412306,2281680,On or near Supermarket,"Investigation complete; no suspect identified",2024-07
360948.0086,168407.1829,5271,120046387,2024-07,violent-crime,Force,,-2.562916,51.413328,2280739,On or near Gilda Square West,Under investigation,2024-07
359773.9927,169224.1886,5272,120046394,2024-07,violent-crime,Force,,-2.579889,51.420592,2279671,On or near Heatherdene,Under investigation,2024-07
355734.2087,179300.186899999,5273,120046395,2024-07,violent-crime,Force,,-2.639250,51.510883,2276226,On or near Springwood Drive,Under investigation,2024-07
356849.2324,170523.1525,5274,120046397,2024-07,violent-crime,Force,,-2.622110,51.432055,2276800,On or near Swiss Drive,Under investigation,2024-07
364000.0813,175983.167400001,5275,120046977,2024-07,violent-crime,Force,,-2.519806,51.481648,2283171,On or near Staplehill Road,Under investigation,2024-07
356711.241,170542.243799999,5276,120046982,2024-07,violent-crime,Force,,-2.624097,51.432216,2276788,On or near Vale Foundary Lane,Under investigation,2024-07
358976.0321,167750.1184,5277,120046989,2024-07,violent-crime,Force,,-2.591193,51.407281,2278874,On or near Cromford Close,Under investigation,2024-07
354395.2343,178070.140699999,5278,120047295,2024-07,violent-crime,Force,,-2.658384,51.499717,2275568,On or near Astry Close,Under investigation,2024-07
359078.8723,175906.134299999,5279,120047159,2024-07,violent-crime,Force,,-2.590662,51.480620,2278990,On or near Prison,Under investigation,2024-07
357738.0678,174180.3981,5280,120047194,2024-07,violent-crime,Force,,-2.609762,51.465005,2277742,On or near Nightclub,Under investigation,2024-07
360874.1092,177373.113500001,5281,120047213,2024-07,violent-crime,Force,,-2.564974,51.493937,2280397,On or near Bonnington Walk,Under investigation,2024-07
359066.7261,177484.373299999,5282,120047294,2024-07,violent-crime,Force,,-2.591020,51.494809,2278854,On or near Hospital,Under investigation,2024-07
356371.2113,167485.2673,5283,120047302,2024-07,violent-crime,Force,,-2.628610,51.404704,2276599,On or near Horsepool Road,Under investigation,2024-07
357939.1698,177387.160399999,5284,120047311,2024-07,violent-crime,Force,,-2.607250,51.493852,2277898,On or near Vintery Leys,Under investigation,2024-07
362823.0541,175586.1469,5285,120047310,2024-07,violent-crime,Force,,-2.536713,51.478002,2282272,On or near Grove Park Gardens,"Investigation complete; no suspect identified",2024-07
359606.1435,170291.122199999,5286,120047318,2024-07,violent-crime,Force,,-2.582426,51.430173,2279383,On or near Daventry Road,Under investigation,2024-07
